0.0000000000000000e+00 1.6276962414016953e-09 4.9254909481315939e-04
6.1958449289202333e-01 1.6276994573537123e-09 4.9254938930262909e-04
9.2937673933803500e-01 1.6277010640342403e-09 4.9254953644870252e-04
2.2876965891397787e+00 1.6277081115667581e-09 4.9255018190087329e-04
2.4783379715680933e+00 1.6277091007810722e-09 4.9255027248391143e-04
1.2391689857840467e+00 1.6277026717216269e-09 4.9254968365328893e-04
2.4783379715680933e+00 1.6277091002223725e-09 4.9255027248431757e-04
4.2612809030122127e+00 1.6277183507192111e-09 4.9255111968569357e-04
5.1527523687342729e+00 1.6277229752333362e-09 4.9255154326067704e-04
9.0615118722848429e+00 1.6277432548614676e-09 4.9255340059004514e-04
9.6101096973445710e+00 1.6277461009726524e-09 4.9255366125435256e-04
6.0442238344563322e+00 1.6277276007636699e-09 4.9255196686384304e-04
9.6101096973445710e+00 1.6277460993417376e-09 4.9255366119389658e-04
1.2947913528640830e+01 1.6277634173867153e-09 4.9255524723244609e-04
1.4616815444288960e+01 1.6277720753033518e-09 4.9255604019351128e-04
2.1934308459053838e+01 1.6278100407728028e-09 4.9255951722814145e-04
2.2961325022529607e+01 1.6278153698092318e-09 4.9256000524083876e-04
1.6285717359937088e+01 1.6277807362595192e-09 4.9255683330226997e-04
2.2961325022529607e+01 1.6278153681672948e-09 4.9256000517121834e-04
2.8239552194969022e+01 1.6278427511732565e-09 4.9256251309784047e-04
3.0878665781188730e+01 1.6278564446061175e-09 4.9256376711617441e-04
4.2450163813075143e+01 1.6279164794065216e-09 4.9256926522178496e-04
4.4074233712287267e+01 1.6279249057847757e-09 4.9257003682489752e-04
3.3517779367408437e+01 1.6278701385304469e-09 4.9256502118687749e-04
4.4074233712287267e+01 1.6279249070402018e-09 4.9257003694099725e-04
5.2425038443170905e+01 1.6279682315993484e-09 4.9257400467652465e-04
5.6600440808612717e+01 1.6279898935007983e-09 4.9257598843123116e-04
7.4907974257088384e+01 1.6280848722867257e-09 4.9258468614585531e-04
7.7477452635821805e+01 1.6280982037034419e-09 4.9258590691147997e-04
6.0775843174054543e+01 1.6280115580815096e-09 4.9257797236656087e-04
7.7477452635821805e+01 1.6280982027522241e-09 4.9258590683731371e-04
9.0399400428165762e+01 1.6281652394751637e-09 4.9259204555048724e-04
9.6860374324337755e+01 1.6281987509847126e-09 4.9259511426357080e-04
1.2518925986909181e+02 1.6283456829489188e-09 4.9260856828714050e-04
1.2916524380519763e+02 1.6283662961692012e-09 4.9261045573437839e-04
1.0332134822050972e+02 1.6282322696044597e-09 4.9259818347107244e-04
1.2916524380519763e+02 1.6283663083131572e-09 4.9261045682545072e-04
1.4723261348163868e+02 1.6284600116179752e-09 4.9261903644984663e-04
1.5626629831985923e+02 1.6285068422686628e-09 4.9262332426836105e-04
1.9587553184128768e+02 1.6287121474416934e-09 4.9264212074828242e-04
2.0143472251096188e+02 1.6287409311624263e-09 4.9264475583339249e-04
1.6529998315807975e+02 1.6285536877377713e-09 4.9262761331766687e-04
2.0143472251096188e+02 1.6287409747674797e-09 4.9264475983957969e-04
2.2313068704702539e+02 1.6288534096466459e-09 4.9265505291057397e-04
