5.00|5.00,6.263829333488149
5.00|5.50,5.558270542024713
5.00|6.00,6.385256497866671
5.00|6.50,7.0545789874734615
5.00|7.00,7.836478360346875
5.00|7.50,8.65366743730534
5.00|8.00,7.077059605189561
5.00|8.50,7.84140163174864
5.00|9.00,5.577854795743442
5.00|9.50,7.0450488228601715
5.00|10.00,7.381736964763749
5.00|10.50,7.403566043055487
5.00|11.00,7.3230176501172926
5.00|11.50,5.821622024704326
5.00|12.00,11.270233054125764
5.00|12.50,6.31659297813622
5.00|13.00,7.085816588421983
5.00|13.50,7.017660522323736
5.00|14.00,6.8957665168888775
5.00|14.50,7.5655187760140565
5.00|15.00,5.109600116338468
5.00|15.50,5.9211704553189595
5.00|16.00,6.961209912708181
5.00|16.50,6.6434547992164585
5.00|17.00,4.938330542480189
5.00|17.50,7.578751705304849
5.00|18.00,5.187839335833924
5.00|18.50,4.502560079713875
5.00|19.00,7.411174093567486
5.00|19.50,6.988070138959483
5.00|20.00,8.42895066607722
5.00|20.50,8.19793070328519
5.00|21.00,7.503846315158266
5.00|21.50,6.965390360759681
5.00|22.00,5.76981318143989
5.00|22.50,8.114531137808113
5.00|23.00,5.346247207470035
5.00|23.50,7.0989805375898385
5.00|24.00,4.818576916139029
5.00|24.50,5.433909762617446
5.00|25.00,6.568109930710862
5.00|25.50,4.959859445488607
5.00|26.00,5.462487783368993
5.00|26.50,5.573029060402122
5.00|27.00,8.38735302280726
5.00|27.50,5.699151727013202
5.00|28.00,8.455803117081143
5.00|28.50,6.926672939451678
5.00|29.00,7.68644532933698
5.00|29.50,7.679409570687234
5.00|30.00,7.211463932650694
5.00|30.50,8.403354255121096
5.00|31.00,6.757086103790668
5.00|31.50,8.068996585224049
5.00|32.00,4.775204843629781
5.00|32.50,7.74757871726212
5.00|33.00,8.146941689625468
5.00|33.50,4.686209894380257
5.00|34.00,4.983971607113555
5.00|34.50,9.005737076627065
5.00|35.00,5.986089811293618
5.00|35.50,5.823099226081017
5.00|36.00,6.123414192584802
5.00|36.50,4.943651132041334
5.00|37.00,8.00774529021861
5.00|37.50,7.145392792274006
5.00|38.00,6.83565624640376
5.00|38.50,8.583753691943459
5.00|39.00,7.341859129790893
5.00|39.50,6.768131719176306
5.00|40.00,6.904458386462503
5.00|40.50,6.928536952500626
5.00|41.00,5.025249393745651
5.00|41.50,7.273680118558902
5.00|42.00,10.010901057582224
5.00|42.50,7.021080325635881
5.00|43.00,6.9522188352161285
5.00|43.50,6.099111151056882
5.00|44.00,6.621732604735389
5.00|44.50,8.694946874960515
5.00|45.00,6.315535572006482
5.00|45.50,6.920905122889566
5.00|46.00,6.87392315804198
5.00|46.50,5.565591608484464
5.00|47.00,6.7527237544411
5.00|47.50,5.841913732555779
5.00|48.00,6.074326148582031
5.00|48.50,7.1334768458028
