5.00|5.00,21.56972049038421
5.00|5.50,20.353491470776973
5.00|6.00,20.869419357796325
5.00|6.50,22.319123966644263
5.00|7.00,23.23048688284025
5.00|7.50,24.276517512514587
5.00|8.00,22.255750689077225
5.00|8.50,22.261833398760043
5.00|9.00,18.222662722728778
5.00|9.50,22.46654787034556
5.00|10.00,21.55495635697258
5.00|10.50,21.59090957613094
5.00|11.00,22.93899421810024
5.00|11.50,20.481652949466284
5.00|12.00,27.238045828252265
5.00|12.50,21.13505607647576
5.00|13.00,22.617227188140355
5.00|13.50,21.82953793754489
5.00|14.00,21.92021447980006
5.00|14.50,21.91260934521141
5.00|15.00,19.721263218566033
5.00|15.50,19.806032819330387
5.00|16.00,22.300273913815047
5.00|16.50,21.423589775667107
5.00|17.00,19.676070563999943
5.00|17.50,22.38836169501522
5.00|18.00,19.84574814672832
5.00|18.50,17.459106429425063
5.00|19.00,22.324619492543924
5.00|19.50,21.879799368013927
5.00|20.00,23.36182610286459
5.00|20.50,23.51517935127348
5.00|21.00,23.518826839126174
5.00|21.50,22.854765604571515
5.00|22.00,20.730141430495692
5.00|22.50,22.095035361485436
5.00|23.00,19.152280554677464
5.00|23.50,21.913106066528865
5.00|24.00,19.14805831605567
5.00|24.50,20.589305884518673
5.00|25.00,21.194574925533207
5.00|25.50,18.970780417148863
5.00|26.00,20.21523469664102
5.00|26.50,20.489266114605172
5.00|27.00,23.850198381129697
5.00|27.50,20.511946876225284
5.00|28.00,23.756886635551616
5.00|28.50,21.290644793913977
5.00|29.00,22.441861331744363
5.00|29.50,22.525746250002097
5.00|30.00,22.85536738911077
5.00|30.50,24.17040760001894
5.00|31.00,21.82613430571085
5.00|31.50,23.65624300137488
5.00|32.00,18.739391660842884
5.00|32.50,22.82016459279428
5.00|33.00,23.211149613231772
5.00|33.50,19.188294113600364
5.00|34.00,20.9721651498421
5.00|34.50,23.524590459837906
5.00|35.00,20.177745336405827
5.00|35.50,20.303042108243247
5.00|36.00,21.67961684569409
5.00|36.50,19.284414890845053
5.00|37.00,22.827906917685485
5.00|37.50,22.724135944282935
5.00|38.00,22.987425780355228
5.00|38.50,22.71523209499626
5.00|39.00,22.034836619533586
5.00|39.50,21.443757716740247
5.00|40.00,21.231595742941668
5.00|40.50,21.537066532701573
5.00|41.00,19.732881388646195
5.00|41.50,22.63476768112345
5.00|42.00,26.734096582812306
5.00|42.50,21.539055285750397
5.00|43.00,21.78071724562421
5.00|43.50,21.036032967970065
5.00|44.00,21.526052733598352
5.00|44.50,23.1379702226012
5.00|45.00,23.630480597172284
5.00|45.50,21.83553128926598
5.00|46.00,21.322408363977313
5.00|46.50,22.574036684820012
5.00|47.00,21.16952412860251
5.00|47.50,21.773450634993964
5.00|48.00,20.610896368771435
5.00|48.50,21.316366498867925
5.00|49.00,21.070995168916372
5.00|49.50,22.567652911828358
5.00|50.00,22.373962658229953
7.00|7.00,23.57403750386967
7.00|7.70,20.434810642034634
7.00|8.40,19.70179537172835
7.00|9.10,21.613575856857473
7.00|9.80,21.05098321251418
7.00|10.50,20.967308869955843
7.00|11.20,20.058951781697314
7.00|11.90,18.162439905138335
7.00|12.60,23.236533157530623
7.00|13.30,21.7080279735794
7.00|14.00,20.93525504617602
7.00|14.70,22.679966206535575
7.00|15.40,19.60914317398744
7.00|16.10,23.698234094198543
7.00|16.80,19.830602418068224
7.00|17.50,19.66158442026753
7.00|18.20,20.686419157581287
7.00|18.90,20.9630247453678
7.00|19.60,19.474045745288297
7.00|20.30,20.308563032635654
7.00|21.00,19.855028692164094
7.00|21.70,19.859075919581368
7.00|22.40,21.75741570998142
7.00|23.10,19.335755014737728
7.00|23.80,22.45627437986698
7.00|24.50,19.65573626155839
7.00|25.20,23.303390816907907
7.00|25.90,21.57483055174658
7.00|26.60,22.553254207757792
7.00|27.30,20.56367988459258
7.00|28.00,21.29431041775159
