# t hplus hcross
-5.3840427389999999e+00 -3.9877762317425908e-23 1.2416242372569129e-22
-5.3837985983749999e+00 -3.2189105133553159e-23 1.2637549357395791e-22
-5.3835544577499999e+00 -2.4378999760225208e-23 1.2811295306789848e-22
-5.3833103171249999e+00 -1.6476822623220765e-23 1.2936823081190111e-22
-5.3830661764999999e+00 -8.5123251587507795e-24 1.3013656550960316e-22
-5.3828220358749999e+00 -5.1548645081764256e-25 1.3041503035438031e-22
-5.3825778952499999e+00 7.4835924284875987e-24 1.3020254318321585e-22
-5.3823337546249999e+00 1.5454798803296482e-23 1.2949986913103583e-22
-5.3820896139999999e+00 2.3368120764338084e-23 1.2830961927137039e-22
-5.3818454733749999e+00 3.1193760348868816e-23 1.2663624014985547e-22
-5.3816013327499999e+00 3.8902246677341543e-23 1.2448599824965357e-22
-5.3813571921249999e+00 4.6464546977204659e-23 1.2186695627093584e-22
-5.3811130514999999e+00 5.3852175901780675e-23 1.1878894272325993e-22
-5.3808689108749999e+00 6.1037303087751517e-23 1.1526351541842192e-22
-5.3806247702499999e+00 6.7992858013063215e-23 1.1130391836245099e-22
-5.3803806296249999e+00 7.4692631692301618e-23 1.0692503159295741e-22
-5.3801364889999999e+00 8.1111375841680700e-23 1.0214331592105870e-22
-5.3798923483749999e+00 8.7224897758802408e-23 9.6976750680122837e-23
-5.3796482077499999e+00 9.3010151668166154e-23 9.1444766419602447e-23
-5.3794040671249999e+00 9.8445326107555184e-23 8.5568172290927949e-23
-5.3791599264999999e+00 1.0350992550034576e-22 7.9369077168984725e-23
-5.3789157858749999e+00 1.0818484795687129e-22 7.2870807001356852e-23
-5.3786716452499999e+00 1.1245245746574558e-22 6.6097817097997520e-23
-5.3784275046249999e+00 1.1629665035641784e-22 5.9075600046193201e-23
-5.3781833639999999e+00 1.1970291642370270e-22 5.1830589952381794e-23
-5.3779392233749999e+00 1.2265839326026463e-22 4.4390062749838867e-23
-5.3776950827499999e+00 1.2515191545553312e-22 3.6782033822696590e-23
-5.3774509421249999e+00 1.2717405708784665e-22 2.9035152552859690e-23
-5.3772068014999999e+00 1.2871716645478806e-22 2.1178594216887292e-23
-5.3769626608749999e+00 1.2977539647300956e-22 1.3241950435558746e-23
-5.3767185202499999e+00 1.3034472565165199e-22 5.2551175415572537e-24
-5.3764743796249999e+00 1.3042297454479611e-22 -2.7518158977397297e-24
-5.3762302389999999e+00 1.3000981350692629e-22 -1.0748682465285092e-23
-5.3759860983749999e+00 1.2910676501045551e-22 -1.8705349600974839e-23
-5.3757419577499999e+00 1.2771719704896946e-22 -2.6591833063738625e-23
-5.3754978171249999e+00 1.2584631128837258e-22 -3.4378409939439818e-23
-5.3752536764999999e+00 1.2350112415459002e-22 -4.2035730832476046e-23
-5.3750095358749999e+00 1.2069043961579702e-22 -4.9534930236471988e-23
-5.3747653952499999e+00 1.1742481732627121e-22 -5.6847735728959712e-23
-5.3745212546249999e+00 1.1371653223892501e-22 -6.3946574304370271e-23
-5.3742771139999999e+00 1.0957952890288702e-22 -7.0804676477586341e-23
-5.3740329733749999e+00 1.0502936951527338e-22 -7.7396177587467072e-23
-5.3737888327499999e+00 1.0008317449547549e-22 -8.3696214720850074e-23
-5.3735446921249999e+00 9.4759559159374380e-23 -8.9681021226327520e-23
-5.3733005514999999e+00 8.9078563230944811e-23 -9.5328016079176502e-23
-5.3730564108749999e+00 8.3061575837726272e-23 -1.0061588950885058e-22
-5.3728122702499999e+00 7.6731254679799165e-23 -1.0552468307616869e-22
-5.3725681296249999e+00 7.0111440883371433e-23 -1.1003586511808070e-22
-5.3723239889999999e+00 6.3227069727199709e-23 -1.1413240151401567e-22
-5.3720798483749999e+00 5.6104076045057423e-23 -1.1779881893098157e-22
-5.3718357077499999e+00 4.8769297360483758e-23 -1.2102126476011788e-22
-5.3715915671249999e+00 4.1250371977820073e-23 -1.2378755768878199e-22
-5.3713474264999999e+00 3.3575635842681268e-23 -1.2608723624252030e-22
-5.3711032858749999e+00 2.5774015018226922e-23 -1.2791159639312823e-22
-5.3708591452499999e+00 1.7874917092777968e-23 -1.2925372579652866e-22
-5.3706150046249999e+00 9.9081202042389702e-24 -1.3010852932103262e-22
-5.3703708639999999e+00 1.9036609245478252e-24 -1.3047274938314913e-22
-5.3701267233749999e+00 -6.1082790758899709e-24 -1.3034497787057552e-22
-5.3698825827499999e+00 -1.4097486781475544e-23 -1.2972566172460303e-22
-5.3696384421249999e+00 -2.2033831745053859e-23 -1.2861710168608136e-22
-5.3693943014999999e+00 -2.9887379815283994e-23 -1.2702344403272400e-22
-5.3691501608749999e+00 -3.7628505945518563e-23 -1.2495066473053118e-22
-5.3689060202499999e+00 -4.5228006053097490e-23 -1.2240654753549600e-22
-5.3686618796249999e+00 -5.2657207164128542e-23 -1.1940065464322855e-22
-5.3684177389999999e+00 -5.9888075630370325e-23 -1.1594429095489781e-22
-5.3681735983749999e+00 -6.6893323085622703e-23 -1.1205046186799549e-22
-5.3679294577499999e+00 -7.3646509336204653e-23 -1.0773382416255642e-22
-5.3676853171249999e+00 -8.0122142221274074e-23 -1.0301063100137348e-22
-5.3674411764999999e+00 -8.6295774039699190e-23 -9.7898671002368428e-23
-5.3671970358749999e+00 -9.2144093831026847e-23 -9.2417201210020224e-23
-5.3669528952499999e+00 -9.7645015268034599e-23 -8.6586874470763051e-23
-5.3667087546249999e+00 -1.0277776060129017e-22 -8.0429662141691605e-23
-5.3664646139999999e+00 -1.0752293903445330e-22 -7.3968771143820957e-23
